127.0.0.1 - - [25/Nov/2016:17:32:14 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Nov/2016:17:32:17 +0530] "GET /Estimation/ HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [25/Nov/2016:17:32:18 +0530] "GET /Estimation/images/browser_not_supported.png HTTP/1.1" 200 17315
0:0:0:0:0:0:0:1 - - [25/Nov/2016:17:35:19 +0530] "GET /Estimation/ HTTP/1.1" 200 6805
0:0:0:0:0:0:0:1 - - [25/Nov/2016:17:35:19 +0530] "GET /Estimation/style/table.css HTTP/1.1" 200 17270
0:0:0:0:0:0:0:1 - - [25/Nov/2016:17:35:19 +0530] "GET /Estimation/style/slimbox2.css HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [25/Nov/2016:17:35:19 +0530] "GET /Estimation/stopBack.js HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [25/Nov/2016:17:35:19 +0530] "GET /Estimation/style/slimbox2.js HTTP/1.1" 200 4099
0:0:0:0:0:0:0:1 - - [25/Nov/2016:17:35:19 +0530] "GET /Estimation/style/login.css HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [25/Nov/2016:17:35:19 +0530] "GET /Estimation/style/jquery.min.js HTTP/1.1" 200 57272
0:0:0:0:0:0:0:1 - - [25/Nov/2016:17:35:19 +0530] "GET /Estimation/style.css HTTP/1.1" 200 11685
0:0:0:0:0:0:0:1 - - [25/Nov/2016:17:35:19 +0530] "GET /Estimation/images/logo1.png HTTP/1.1" 200 38825
0:0:0:0:0:0:0:1 - - [25/Nov/2016:17:35:19 +0530] "GET /Estimation/images/20.jpg HTTP/1.1" 200 43687
0:0:0:0:0:0:0:1 - - [25/Nov/2016:17:35:19 +0530] "GET /Estimation/images/templatemo_background_section_top_bg.jpg HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [25/Nov/2016:17:35:19 +0530] "GET /Estimation/images/newlogo.png HTTP/1.1" 200 10426
0:0:0:0:0:0:0:1 - - [25/Nov/2016:17:35:19 +0530] "GET /Estimation/images/templatemo_footer_bg.jpg HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [25/Nov/2016:17:35:20 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Nov/2016:17:35:39 +0530] "POST /Estimation/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2016:17:35:40 +0530] "GET /Estimation/Admin/admin.jsp HTTP/1.1" 200 3927
0:0:0:0:0:0:0:1 - - [25/Nov/2016:17:35:40 +0530] "GET /Estimation/Admin/style.css HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [25/Nov/2016:17:35:40 +0530] "GET /Estimation/icons/user.png HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [25/Nov/2016:17:35:40 +0530] "GET /Estimation/icons/exit.png HTTP/1.1" 200 782
